淨宮,梵刹
照亮,照諒
太僕,太僕
奬勵賞,奬勵賞
深責,切責
後夫,後書房
糧秣,糧草
靈筵,几筵
暖室,暖房
訃音,訃聞
柞木,櫟木
眼華,空華
化合量,化合量
丘墓,陰宅
沒風流,沒風
同値,等價
洋銀,洋白
單線鐵道,單線軌道
猜忌之心,猜忌心
認許狀,許可狀
半子,女壻
受寶籙舞,受寶籙舞
分碎,分碎
幼生器官,一時的器官
大豊,大豊
紫玉蓮,紫木蓮
柔然,茹茹
耕耘,耕耨
通路,通行路
才品,才稟
智慧,知慧
穩寢,穩眠
白油麻,白胡麻
秀魚,鳥頭魚
斜日,夕照
宮女,宮嬪
缿筒,缿筒
公府,府署
外用藥,內服藥
饘粥,饘酏
古銅色,赤褐
本給,水塘
白日,赤日百千
呈納,呈上
濕症,濕病
痛悼,傷悼
封土,提封
不如歸,杜魂
牙口瘡,牙口瘡
照律,照律
空中滑空,空中滑空
名流,有名人
輪藏臺,轉輪藏
問標,疑問符號
水邊,涯際
多寡,多少
自若孫,子與孫
斜視眼,斜視
遣奠,遣奠
鐵貧,鐵貧
版本,版本
假出獄,假出獄
剿除,剿滅
入超,入超
約言,言約
人造珊瑚,人造珊瑚
壙中,壙中
釐正,理正
共同謀議,共謀
電鈴,電鈴
演奏權,演奏權
窮谷,窮谷
南牀,南牀
入隊,入隊
投書,投書
雜杖,雜杖
今夜,今夜
絶對權,絶對權利
市肆,市廛
甘文國,甘文國
重農派,重農學派
彌勒經,彌勒經
語源俗解,語源俗解
涌起,湧起
漿液膜,漿膜
無垢衣,卓衣
反粒子,飯粒者
曄然,曄煜
景明風,東南風
淸州,淸州市
銃架臺,銃架
團體協約,團體契約
三塗,三道
弓福,張保皐
猛勇,猛勇
孤帆,孤帆
鞭扑,鞭扑
硬隨筆,硬隨筆
酒食,酒食
竈馬,竈鷄
窮春,窮春
閻浮提,閻浮洲
回覽,回覽
風景,風光
翣扇,黻翣
百會穴,百會
光合成,光力合成
百日紅,紫薇
下元甲子,下元甲
連結機,連結器
轉摩擦,回轉摩擦
戶布,戶布
初緣,初緣
庭丁,庭丁
不毛,不毛
睠顧,愛顧
皁角子,皁莢子
憂悸,憂悸
歷城,歷城
列立軍,閱入軍
潤態,潤澤
潭陽郡,潭陽
缺本,闕本
接遇,接遇
職貢,職貢
佛家,佛家
企待權,企待權
昌原,昌原
柔道,柔術
德性,德性
民約憲法,民約憲法
嚴禁,嚴禁
武勇談,武談
鑑賞,賞鑑
仕宦界,仕路
輪症,流行病
遏迦棚,閼伽棚
八世,八代
揷入標,揷入標
動物試驗,動物試驗
鷙鳥,鷙鳥
內從四寸,外從四寸
氣圈,大氣圈
歸厚署,棺槨色
衛矛,魂箭羽
餘祟,餘祟
夢兆,夢兆
宿命說,宿命論
同氣間,天倫
彌勒,慈子
沙地,沙地
閑居,閑居
天帝,天帝
切手,郵票
九有,天下
容體,容態
東營,東別營
官衙,府寺
虜將,敵將
章擧,小八鮹魚
誓盟,誓盟
遞計,遞計
窮狀,窮狀
該備,該備
勝負,勝負
進軍,進軍
大業,鴻業
解熱劑,解熱劑
龍顔,龍顔
俱慶,俱慶
信託業,信託業
寺黨,社堂
復讐彈,復讐彈
暑濕,暑濕
黃龍大旗,畫龍大旗
積德,累德
椎骨,脊椎
資質,恣質
社壇,社壇
麴子,酒媒
驅血法,止血法
善根,善根
倭靑,鴉靑
宏儒,鴻儒
村落,村里
造化神,造物主
勒奪,强奪
騰貴,昻貴
浪費,虛憊
苦難,難苦
月料,月料
丹藥,丹藥
次子,仲男
鴻業,丕業
濡桑,雨桑
妻邊,妻族
湧起,涌起
書屋,學堂
角粲,伊罰干
沈澱巖,水成巖
戈殳,矛戟
不服,不服
四六體,騈儷體
扁豆,鵲豆
照里之戱,照里之戱
輿駕,寶駕
倏忽,儵忽
誇大狂,誇大妄想狂
砒霜石,砒石
船矴魚,渡父魚
跌宕,佚蕩
鶬鷄,舂鋤
毛皮種,毛皮種
郵便筒,郵遞筒
念經祈求,念經祈求
忿氣,憤氣
